participant,condition,reward,loss,total,mouse.clicked_name,mouse.time
swara,sufficient_time,100.0,250.0,1850.0,deck_A,[1.1835176249996948]
swara,sufficient_time,100.0,0.0,1950.0,deck_B,[0.7467895830000089]
swara,sufficient_time,50.0,50.0,1950.0,deck_C,[0.6875145829999383]
swara,sufficient_time,50.0,0.0,2000.0,deck_D,[0.32239795800023785]
swara,sufficient_time,50.0,0.0,2050.0,deck_C,[0.3226755000000594]
swara,sufficient_time,100.0,0.0,2150.0,deck_B,[1.5246212910001304]
swara,sufficient_time,100.0,0.0,2250.0,deck_B,[0.28437374999975873]
swara,sufficient_time,100.0,0.0,2350.0,deck_B,[0.4898130830001719]
swara,sufficient_time,100.0,0.0,2450.0,deck_B,[0.3450810409999576]
swara,sufficient_time,100.0,250.0,2300.0,deck_A,[0.5242433329999585]
swara,sufficient_time,100.0,0.0,2400.0,deck_B,[0.9843364580001435]
swara,sufficient_time,100.0,0.0,2500.0,deck_B,[0.3551370830000451]
swara,sufficient_time,100.0,0.0,2600.0,deck_B,[0.38314649999983885]
swara,sufficient_time,100.0,0.0,2700.0,deck_B,[0.36454150000008667]
swara,sufficient_time,100.0,0.0,2800.0,deck_B,[0.6993781249998392]
swara,sufficient_time,100.0,0.0,2900.0,deck_B,[0.6385302499998033]
swara,sufficient_time,100.0,1250.0,1750.0,deck_B,[0.2737041249997674]
swara,sufficient_time,50.0,0.0,1800.0,deck_C,[0.9602832499999749]
swara,sufficient_time,50.0,0.0,1850.0,deck_D,[0.38042170900007477]
swara,sufficient_time,50.0,0.0,1900.0,deck_D,[0.3060896249999132]
swara,sufficient_time,50.0,0.0,1950.0,deck_D,[0.5515909580003608]
swara,sufficient_time,50.0,0.0,2000.0,deck_D,[0.5454525830000421]
swara,sufficient_time,50.0,250.0,1800.0,deck_D,[0.5287592919999042]
swara,sufficient_time,50.0,0.0,1850.0,deck_C,[0.5130593330000011]
swara,sufficient_time,50.0,50.0,1850.0,deck_C,[0.3603291250001348]
swara,sufficient_time,50.0,0.0,1900.0,deck_C,[0.6945902090001255]
swara,sufficient_time,50.0,50.0,1900.0,deck_C,[0.6381628750000345]
swara,sufficient_time,50.0,0.0,1950.0,deck_C,[0.4725636250000207]
swara,sufficient_time,50.0,50.0,1950.0,deck_C,[0.29756316700013485]
swara,sufficient_time,50.0,0.0,2000.0,deck_C,[0.3435280829999101]
swara,sufficient_time,50.0,0.0,2050.0,deck_C,[0.27252737500020885]
swara,sufficient_time,100.0,0.0,2150.0,deck_B,[0.318577374999677]
swara,sufficient_time,100.0,0.0,2250.0,deck_B,[0.526787916000103]
swara,sufficient_time,100.0,0.0,2350.0,deck_B,[0.6902490830002534]
swara,sufficient_time,100.0,0.0,2450.0,deck_B,[0.40103291700006594]
swara,sufficient_time,100.0,0.0,2550.0,deck_B,[0.43517195899994476]
swara,sufficient_time,100.0,250.0,2400.0,deck_A,[0.7887835419996918]
swara,sufficient_time,100.0,250.0,2250.0,deck_A,[0.4237866670000585]
swara,sufficient_time,100.0,1250.0,1100.0,deck_B,[0.338473625000006]
swara,sufficient_time,50.0,0.0,1150.0,deck_C,[0.7316093750000618]
swara,sufficient_time,50.0,50.0,1150.0,deck_C,[0.4352030410000225]
swara,sufficient_time,50.0,0.0,1200.0,deck_D,[1.0111842920000527]
swara,sufficient_time,50.0,0.0,1250.0,deck_D,[0.45316220799986695]
swara,sufficient_time,50.0,0.0,1300.0,deck_C,[0.4927432089998547]
swara,sufficient_time,50.0,0.0,1350.0,deck_C,[0.5884180419998302]
swara,sufficient_time,50.0,50.0,1350.0,deck_C,[0.6798744169996098]
swara,sufficient_time,50.0,0.0,1400.0,deck_D,[0.9886133749996588]
swara,sufficient_time,50.0,250.0,1200.0,deck_D,[0.4393458329996065]
swara,sufficient_time,50.0,0.0,1250.0,deck_D,[0.28613858300013817]
swara,sufficient_time,50.0,0.0,1300.0,deck_D,[0.26194308300000557]
swara,sufficient_time,50.0,0.0,1350.0,deck_D,[0.5449068749999242]
swara,sufficient_time,50.0,0.0,1400.0,deck_D,[0.43856716700020115]
swara,sufficient_time,50.0,0.0,1450.0,deck_D,[0.7549992079998447]
swara,sufficient_time,50.0,0.0,1500.0,deck_D,[0.64262058300028]
swara,sufficient_time,50.0,0.0,1550.0,deck_D,[0.39027166599998964]
swara,sufficient_time,50.0,250.0,1350.0,deck_D,[1.0697288750002372]
swara,sufficient_time,50.0,0.0,1400.0,deck_D,[0.5660342920000403]
swara,sufficient_time,50.0,0.0,1450.0,deck_C,[1.3262525000000096]
swara,sufficient_time,50.0,0.0,1500.0,deck_C,[2.6292929999999615]
swara,sufficient_time,50.0,0.0,1550.0,deck_C,[1.1610860410000896]
swara,sufficient_time,50.0,50.0,1550.0,deck_C,[0.6350639580000461]
swara,sufficient_time,50.0,0.0,1600.0,deck_D,[0.308136167000157]
swara,sufficient_time,100.0,0.0,1700.0,deck_B,[0.3491617919999044]
swara,sufficient_time,100.0,0.0,1800.0,deck_B,[0.31700579200014545]
swara,sufficient_time,100.0,0.0,1900.0,deck_B,[0.3019087079997007]
swara,sufficient_time,100.0,1250.0,750.0,deck_B,[0.3055432920000385]
swara,sufficient_time,100.0,0.0,850.0,deck_B,[0.5446882920000462]
swara,sufficient_time,100.0,0.0,950.0,deck_B,[0.2894845000000714]
swara,sufficient_time,100.0,0.0,1050.0,deck_B,[0.26595454199969026]
swara,sufficient_time,100.0,0.0,1150.0,deck_B,[0.3347861249999369]
swara,sufficient_time,50.0,0.0,1200.0,deck_C,[0.2910232089998317]
swara,sufficient_time,100.0,0.0,1300.0,deck_B,[0.3400154579999253]
swara,sufficient_time,100.0,0.0,1400.0,deck_B,[0.29525133300012385]
swara,sufficient_time,100.0,0.0,1500.0,deck_B,[0.2570489169997927]
swara,sufficient_time,100.0,0.0,1600.0,deck_B,[0.31810258399991653]
swara,sufficient_time,100.0,0.0,1700.0,deck_B,[0.31776099999979124]
swara,sufficient_time,50.0,0.0,1750.0,deck_C,[0.30461412500017104]
swara,sufficient_time,100.0,1250.0,600.0,deck_B,[0.302655749999758]
swara,sufficient_time,100.0,0.0,700.0,deck_B,[0.7252717920000578]
swara,sufficient_time,50.0,0.0,750.0,deck_D,[3.5479792079995605]
swara,sufficient_time,50.0,0.0,800.0,deck_D,[0.31269491600005495]
swara,sufficient_time,50.0,0.0,850.0,deck_D,[0.4193288750002466]
swara,sufficient_time,50.0,0.0,900.0,deck_D,[0.41338233299984495]
swara,sufficient_time,50.0,0.0,950.0,deck_D,[0.3371441250001226]
swara,sufficient_time,50.0,250.0,750.0,deck_D,[0.3203918750000412]
swara,sufficient_time,50.0,0.0,800.0,deck_C,[0.6184745000000476]
swara,sufficient_time,50.0,0.0,850.0,deck_C,[0.7879881250000835]
swara,sufficient_time,50.0,0.0,900.0,deck_C,[0.4978482920000715]
swara,sufficient_time,50.0,0.0,950.0,deck_C,[0.721334874999684]
swara,sufficient_time,50.0,50.0,950.0,deck_C,[0.46638908300019466]
swara,sufficient_time,50.0,0.0,1000.0,deck_C,[0.6557653750001009]
swara,sufficient_time,50.0,50.0,1000.0,deck_C,[1.1619127500002833]
swara,sufficient_time,100.0,0.0,1100.0,deck_B,[3.750955334000082]
swara,sufficient_time,100.0,0.0,1200.0,deck_B,[0.5001795000002858]
swara,sufficient_time,100.0,0.0,1300.0,deck_A,[0.5328326659996492]
swara,sufficient_time,100.0,1250.0,150.0,deck_B,[0.3521902079996835]
swara,sufficient_time,100.0,250.0,0.0,deck_A,[1.369040957999914]
swara,sufficient_time,50.0,0.0,50.0,deck_C,[0.4244050829997832]
swara,sufficient_time,50.0,0.0,100.0,deck_C,[0.4995498329999464]
swara,sufficient_time,50.0,0.0,150.0,deck_D,[0.655323457999657]
